TotalDyeingAmount_t-11,TotalPackingAmaount_t-11,YarnConsumptionPerKgGas_t-11,TotalDyeingAmount_t-10,TotalPackingAmaount_t-10,YarnConsumptionPerKgGas_t-10,TotalDyeingAmount_t-9,TotalPackingAmaount_t-9,YarnConsumptionPerKgGas_t-9,TotalDyeingAmount_t-8,TotalPackingAmaount_t-8,YarnConsumptionPerKgGas_t-8,TotalDyeingAmount_t-7,TotalPackingAmaount_t-7,YarnConsumptionPerKgGas_t-7,TotalDyeingAmount_t-6,TotalPackingAmaount_t-6,YarnConsumptionPerKgGas_t-6,TotalDyeingAmount_t-5,TotalPackingAmaount_t-5,YarnConsumptionPerKgGas_t-5,TotalDyeingAmount_t-4,TotalPackingAmaount_t-4,YarnConsumptionPerKgGas_t-4,TotalDyeingAmount_t-3,TotalPackingAmaount_t-3,YarnConsumptionPerKgGas_t-3,TotalDyeingAmount_t-2,TotalPackingAmaount_t-2,YarnConsumptionPerKgGas_t-2,TotalDyeingAmount_t-1,TotalPackingAmaount_t-1,YarnConsumptionPerKgGas_t-1,TotalDyeingAmount_t-0,TotalPackingAmaount_t-0,YarnConsumptionPerKgGas_t-0
278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157
267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435
276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735
286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939
331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746
275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853
328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799
337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906
343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164
278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206
