model,seed,RMSE,MAE,MAPE(%),MASE,RMSSE,mean_RMSE,mean_MAE,mean_MAPE(%),mean_MASE,mean_RMSSE,std_RMSE,std_MAE,std_MAPE(%)
InceptionTime,3,4334.727683567749,3838.046630859375,18.310692957939942,1.4912919584548758,1.2084480160486641,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,4,2066.5112077793046,1651.5545247395833,8.34033781848693,0.641719660696886,0.576108016808064,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,5,2418.653440595005,2079.607421875,9.972668290370757,0.8080417262389678,0.6742792546983366,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,6,4377.919677385792,3817.7789713541665,19.957109232126204,1.4834168593370594,1.220489205956963,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,7,2648.053988483315,2281.7623697916665,11.702075683307944,0.8865900288484352,0.738232207966196,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,8,3251.101000662915,2730.4329427083335,14.31613477705854,1.0609231940596535,0.9063514114435192,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,9,2899.8850874318737,2337.5144856770835,11.990284647805254,0.9082527886018649,0.8084384156265726,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,10,2603.7147508875732,2178.5426432291665,10.50531567231671,0.846483494722741,0.72587118609421,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,MEAN,3497.9836,2976.1253,14.6703,1.1564,0.9752,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
Random Forest,1,2131.0845366040126,1702.4251284646532,8.894218456699049,0.6614856848110733,0.5941099575997979,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,2,2114.216062095519,1693.215209124807,8.888452485663555,0.6579071252023654,0.5894073151175881,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,3,1917.7677517466818,1488.5171650916948,7.778902863182911,0.5783706900471545,0.5346408826616116,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,4,2111.7759329431983,1707.0174686670418,8.8860018742301,0.663270061259042,0.5887270488013896,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,5,2166.5746076145615,1726.374774853156,9.012554692259544,0.6707914381023028,0.6040039830225955,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,6,2069.2492588795963,1590.1371916263527,8.337214833899553,0.6178556528328135,0.576871338673133,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,7,2145.9039883658875,1830.7733235650276,9.425293448546801,0.7113560093913998,0.5982413675493675,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,8,2120.63211521014,1775.714863468858,9.176464374393671,0.6899627730179424,0.5911960011027813,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,9,2205.8091011230176,1828.021470370996,9.46087980696418,0.7102867632529836,0.6149418894614942,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
